ecut,nkpts,alat,energy,total_force,run_time
80.0,10.0,6.0,-363.0729101,0.0,
80.0,10.0,6.1,-363.40403276,0.0,
80.0,10.0,6.2,-363.69018679,0.0,
80.0,10.0,6.3,-363.93578421,0.0,
80.0,10.0,6.4,-364.14498768,0.0,
80.0,10.0,6.5,-364.32184931,0.0,
80.0,10.0,6.6,-364.47007337,0.0,
80.0,10.0,6.7,-364.5929533,0.0,
80.0,10.0,6.8,-364.69347839,0.0,
80.0,10.0,6.9,-364.77427619,0.0,
80.0,10.0,7.0,-364.83768193,0.0,
80.0,10.0,7.1,-364.88577173,0.0,
80.0,10.0,7.2,-364.92025924,0.0,
80.0,10.0,7.3,-364.94238307,0.0,
80.0,10.0,7.4,-364.95428172,0.0,
80.0,10.0,7.5,-364.95741137,0.0,
80.0,10.0,7.6,-364.95286808,0.0,
80.0,10.0,7.7,-364.94159832,0.0,
80.0,10.0,7.8,-364.92445629,0.0,
80.0,10.0,7.9,-364.90220666,0.0,
80.0,10.0,8.0,-364.87556183,0.0,
80.0,10.0,8.1,-364.84512896,0.0,
80.0,10.0,8.2,-364.81150062,0.0,
80.0,10.0,8.3,-364.77517683,0.0,
80.0,10.0,8.4,-364.73661975,0.0,
80.0,10.0,8.5,-364.69622561,0.0,
80.0,10.0,8.6,-364.65435899,0.0,
80.0,10.0,8.7,-364.61132289,0.0,
80.0,10.0,8.8,-364.56739472,0.0,
80.0,10.0,8.9,-364.52280782,0.0,
